,T,gas_prod,std_gas_prod
61,635.5,-1.0935956885490413e-06,1e-05
62,641.0,-1.962394388809366e-06,1e-05
63,646.5,2.652288234037972e-06,1e-05
64,652.0,1.0048168695453171e-05,1e-05
65,657.5,1.5043092891928461e-05,1e-05
66,663.0,-3.8599965518541076e-07,1e-05
67,668.5,3.099066590436099e-06,1e-05
68,674.0,1.0508342949864166e-05,1e-05
69,679.5,1.794396473382817e-05,1e-05
70,685.0,2.11473688917337e-05,1e-05
71,690.5,2.987920201228269e-06,1e-05
72,696.0,4.415777433830227e-05,1e-05
73,701.5,2.2375450101827515e-05,1e-05
74,707.0,5.411423631101854e-05,1e-05
75,712.5,2.7630331026766912e-05,1e-05
76,718.0,3.7291688419305136e-05,1e-05
77,723.5,5.0795926122856874e-05,1e-05
78,729.0,5.8072786355805045e-05,1e-05
79,734.5,6.019063161330914e-05,1e-05
80,740.0,8.347158188184142e-05,1e-05
81,745.5,6.690332143532978e-05,1e-05
82,751.0,0.00010481669351155502,1e-05
83,756.5,9.590567299303333e-05,1e-05
84,762.0,0.00012680999495887473,1e-05
85,767.5,0.00012069339948308515,1e-05
86,773.0,0.00012141952383004222,1e-05
87,778.5,0.00015051683779196442,1e-05
88,784.0,0.000178753314153994,1e-05
89,789.5,0.00016597361128369053,1e-05
90,795.0,0.00017708257304887686,1e-05
91,800.5,0.00018066938559141416,1e-05
92,806.0,0.0001836300964077086,1e-05
93,811.5,0.00019147957785539956,1e-05
94,817.0,0.00019110236195450173,1e-05
95,822.5,0.00019414202298655088,1e-05
96,828.0,0.0002113960160356693,1e-05
97,833.5,0.00022784039807567107,1e-05
98,839.0,0.0002163314384605997,1e-05
99,844.5,0.00021385793287553287,1e-05
100,850.0,0.00020827149967372197,1e-05
101,855.5,0.0001925736818683859,1e-05
102,861.0,0.00019740430488602735,1e-05
103,866.5,0.00018473660562720706,1e-05
104,872.0,0.00019096166797110764,1e-05
105,877.5,0.0001859233859361357,1e-05
106,883.0,0.00017775886859937908,1e-05
107,888.5,0.00016020406397706873,1e-05
108,894.0,0.00015815997236714495,1e-05
109,899.5,0.0001322663638514579,1e-05
110,905.0,0.00012916554100517836,1e-05
111,910.5,0.00011948221191760799,1e-05
112,916.0,0.00010425912538186489,1e-05
113,921.5,9.505743171948679e-05,1e-05
114,927.0,8.881561622947722e-05,1e-05
115,932.5,8.583774547082855e-05,1e-05
116,938.0,6.433370171148316e-05,1e-05
117,943.5,9.756394112613227e-05,1e-05
118,949.0,7.312837935411513e-05,1e-05
119,954.5,6.593825396994917e-05,1e-05
120,960.0,6.643569218890726e-05,1e-05
121,965.5,5.382605005894632e-05,1e-05
122,971.0,5.5781075608161164e-05,1e-05
123,976.5,5.1565874109165995e-05,1e-05
124,982.0,5.0284279509193956e-05,1e-05
125,987.5,1.7067563448532068e-05,1e-05
126,993.0,4.6582677415937136e-05,1e-05
127,998.5,3.469162227323225e-05,1e-05
128,1004.0,3.669779533915544e-05,1e-05
129,1009.5,3.258495881053844e-05,1e-05
130,1015.0,2.8306042800907732e-05,1e-05
131,1020.5,3.776726038033514e-05,1e-05
132,1026.0,1.794340774886399e-05,1e-05
133,1031.5,2.4997103919891784e-05,1e-05
134,1037.0,1.545987271065986e-05,1e-05
135,1042.5,1.6756917559194196e-05,1e-05
136,1048.0,3.9487886362956464e-05,1e-05
137,1053.5,3.190125555054448e-05,1e-05
138,1059.0,1.606051107033351e-05,1e-05
139,1064.5,2.102903630891364e-05,1e-05
140,1070.0,8.92928825470615e-06,1e-05
141,1075.5,-8.698535867258616e-06,1e-05
142,1081.0,1.4780551937467892e-05,1e-05
143,1086.5,5.754272029572578e-06,1e-05
144,1092.0,-4.105458458679906e-06,1e-05
145,1097.5,-1.5589752417986575e-05,1e-05
146,1103.0,2.092565921236678e-05,1e-05
147,1108.5,1.1736085628041686e-05,1e-05
148,1114.0,1.1070074847680785e-05,1e-05
149,1119.5,-2.0899445441668357e-06,1e-05
150,1125.0,5.008228581190099e-06,1e-05
151,1130.5,1.817515194096496e-05,1e-05
152,1136.0,-1.4392918844207193e-06,1e-05
153,1141.5,6.242147418605743e-06,1e-05
154,1147.0,-6.352663104578594e-06,1e-05
155,1152.5,5.311061368420882e-06,1e-05
156,1158.0,-7.5699291730084254e-06,1e-05
157,1163.5,-1.9975374249157427e-06,1e-05
158,1169.0,-7.311584789596877e-07,1e-05
159,1174.5,1.132401390959988e-05,1e-05
160,1180.0,6.415275829119555e-06,1e-05
161,1185.5,-4.205789170967903e-06,1e-05
162,1191.0,6.500651808901245e-07,1e-05
163,1196.5,1.389338046175936e-06,1e-05
164,1202.0,1.3673713711847492e-06,1e-05
165,1207.5,-7.310869264940111e-06,1e-05
166,1213.0,9.400232270518104e-06,1e-05
167,1218.5,3.8070871084755118e-06,1e-05
168,1224.0,2.943513281982152e-06,1e-05
169,1229.5,2.6012692332206675e-05,1e-05
170,1235.0,-3.699859906179485e-06,1e-05
171,1240.5,7.756565014183306e-06,1e-05
172,1246.0,-1.4265462974649032e-05,1e-05
173,1251.5,1.9766103664559975e-05,1e-05
174,1257.0,-8.339164490109717e-06,1e-05
175,1262.5,-9.4800273632515e-06,1e-05
176,1268.0,-1.2814197345559576e-06,1e-05
177,1273.5,-8.887875703765734e-06,1e-05
178,1279.0,-1.1714871863790596e-05,1e-05
179,1284.5,8.130247862138124e-06,1e-05
180,1290.0,7.194226338662861e-06,1e-05
181,1295.5,6.827898649917725e-07,1e-05
182,1301.0,-3.1579519165828465e-06,1e-05
183,1306.5,6.932389253929928e-06,1e-05
184,1312.0,-5.82171940110165e-06,1e-05
185,1317.5,-6.9250605008022624e-06,1e-05
186,1323.0,9.649198148314194e-06,1e-05
187,1328.5,-8.703497019922509e-06,1e-05
188,1334.0,-8.30177563340623e-06,1e-05
189,1339.5,5.585168363081588e-06,1e-05
190,1345.0,-2.735376769140415e-06,1e-05
191,1350.5,-9.588384215077899e-06,1e-05
192,1356.0,-1.2943440351503939e-06,1e-05
193,1361.5,-2.325849795218935e-06,1e-05
194,1367.0,-7.0008299725787715e-06,1e-05
195,1372.5,2.8860770456535023e-06,1e-05
196,1378.0,6.974941167786574e-06,1e-05
197,1383.5,1.0493064875840212e-05,1e-05
198,1389.0,-1.2561228662406979e-05,1e-05
199,1394.5,1.250446342921058e-06,1e-05
200,1400.0,9.277131834537274e-07,1e-05
